frame,timestamp,target_cx,target_cy,target_class,confidence,error_x,error_y,distance,output_x,output_y,aim_x,aim_y,steps,settled,dt
0,1785364537.574,967.3,542.5,1,0.713,7.3,-0.6,7.3,2.54,-0.12,967.3,539.4,"[[3, 0]]",0,0.0000
1,1785364537.583,967.3,542.5,1,0.713,7.3,-0.6,7.3,2.54,-0.12,967.3,539.4,"[[3, 0]]",0,0.0084
2,1785364537.591,979.9,542.3,1,0.870,19.9,-0.7,19.9,7.61,-0.16,979.9,539.3,"[[6, 0], [2, 0]]",0,0.0079
3,1785364537.601,979.9,542.3,1,0.870,19.9,-0.7,19.9,6.98,-0.15,979.9,539.3,"[[6, 0], [1, 0]]",0,0.0108
4,1785364537.614,979.9,542.3,1,0.870,19.9,-0.7,19.9,6.98,-0.15,979.9,539.3,"[[6, 0], [1, 0]]",0,0.0122
5,1785364537.623,989.6,542.3,1,0.858,29.6,-0.8,29.6,10.83,-0.17,989.6,539.2,"[[7, 0], [4, 0]]",0,0.0090
6,1785364537.632,989.6,542.3,1,0.858,29.6,-0.8,29.6,10.35,-0.17,989.6,539.2,"[[6, 0], [4, 0]]",0,0.0092
7,1785364537.644,989.6,542.3,1,0.858,29.6,-0.8,29.6,10.35,-0.17,989.6,539.2,"[[6, 0], [4, 0]]",0,0.0119
8,1785364537.655,993.4,554.8,0,0.886,33.4,3.3,33.5,11.89,0.81,993.4,543.3,"[[7, 0], [5, 0]]",0,0.0111
9,1785364537.664,993.4,554.8,0,0.886,33.4,3.3,33.5,11.70,0.69,993.4,543.3,"[[7, 0], [5, 0]]",0,0.0095
10,1785364537.676,993.4,554.8,0,0.886,33.4,3.3,33.5,11.70,0.69,993.4,543.3,"[[7, 0], [5, 0]]",0,0.0115
11,1785364537.686,983.7,554.9,0,0.885,23.7,3.3,23.8,7.81,0.70,983.7,543.3,"[[6, 1], [2, 0]]",0,0.0101
12,1785364537.695,983.7,554.9,0,0.885,23.7,3.3,23.8,8.30,0.70,983.7,543.3,"[[6, 0], [2, 0]]",0,0.0093
13,1785364537.705,983.7,554.9,0,0.885,23.7,3.3,23.8,8.30,0.70,983.7,543.3,"[[6, 0], [2, 0]]",0,0.0102
14,1785364537.716,983.7,554.9,0,0.885,23.7,3.3,23.8,8.30,0.70,983.7,543.3,"[[6, 0], [2, 0]]",0,0.0110
15,1785364537.726,969.1,542.2,1,0.785,9.1,-0.7,9.1,2.45,-0.26,969.1,539.3,"[[2, 0]]",0,0.0093
16,1785364537.733,969.1,542.2,1,0.785,9.1,-0.7,9.1,3.18,-0.14,969.1,539.3,"[[3, 0]]",0,0.0078
17,1785364537.743,969.1,542.2,1,0.785,9.1,-0.7,9.1,3.18,-0.14,969.1,539.3,"[[3, 0]]",0,0.0095
18,1785364537.751,947.5,541.6,1,0.869,-12.5,-1.4,12.6,-5.47,-0.31,947.5,538.6,"[[-5, 0]]",0,0.0077
19,1785364537.759,947.5,541.6,1,0.869,-12.5,-1.4,12.6,-4.39,-0.29,947.5,538.6,"[[-4, 0]]",0,0.0082
20,1785364537.767,947.5,541.6,1,0.869,-12.5,-1.4,12.6,-4.39,-0.29,947.5,538.6,"[[-4, 0]]",0,0.0081
21,1785364537.777,947.5,541.6,1,0.869,-12.5,-1.4,12.6,-4.39,-0.29,947.5,538.6,"[[-4, 0]]",0,0.0099
22,1785364537.784,929.1,553.9,0,0.898,-30.9,2.1,30.9,-11.74,0.55,929.1,542.1,"[[-7, 0], [-5, 0]]",0,0.0075
23,1785364537.795,929.1,553.9,0,0.898,-30.9,2.1,30.9,-10.82,0.45,929.1,542.1,"[[-7, 0], [-4, 0]]",0,0.0104
24,1785364537.804,929.1,553.9,0,0.898,-30.9,2.1,30.9,-10.82,0.45,929.1,542.1,"[[-7, 0], [-4, 0]]",0,0.0091
25,1785364537.816,929.1,553.9,0,0.898,-30.9,2.1,30.9,-10.82,0.45,929.1,542.1,"[[-7, 0], [-4, 0]]",0,0.0120
26,1785364537.826,913.8,553.5,0,0.898,-46.2,1.8,46.2,-16.93,0.36,913.8,541.8,"[[-8, 0], [-6, 0], [-3, 0]]",0,0.0102
27,1785364537.841,913.8,553.5,0,0.898,-46.2,1.8,46.2,-16.17,0.37,913.8,541.8,"[[-8, 0], [-6, 0], [-2, 0]]",0,0.0153
28,1785364537.855,905.8,553.7,0,0.899,-54.2,1.9,54.2,-19.36,0.40,905.8,541.9,"[[-9, 0], [-6, 0], [-4, 0]]",0,0.0136
29,1785364537.868,905.8,553.7,0,0.899,-54.2,1.9,54.2,-18.96,0.40,905.8,541.9,"[[-9, 0], [-6, 0], [-4, 0]]",0,0.0128
30,1785364537.882,905.8,553.7,0,0.899,-54.2,1.9,54.2,-18.96,0.40,905.8,541.9,"[[-9, 0], [-6, 0], [-4, 0]]",0,0.0139
31,1785364537.894,911.5,553.8,0,0.896,-48.5,2.0,48.5,-16.68,0.42,911.5,542.0,"[[-8, 0], [-6, 0], [-3, 0]]",0,0.0129
32,1785364537.910,911.5,553.8,0,0.896,-48.5,2.0,48.5,-16.97,0.41,911.5,542.0,"[[-8, 0], [-6, 0], [-3, 0]]",0,0.0154
33,1785364537.924,930.2,553.6,0,0.898,-29.8,1.9,29.8,-9.48,0.41,930.2,541.9,"[[-6, 0], [-3, 0]]",0,0.0140
34,1785364537.936,930.2,553.6,0,0.898,-29.8,1.9,29.8,-10.42,0.41,930.2,541.9,"[[-6, 0], [-4, 0]]",0,0.0118
35,1785364537.947,930.2,553.6,0,0.898,-29.8,1.9,29.8,-10.42,0.41,930.2,541.9,"[[-6, 0], [-4, 0]]",0,0.0112
36,1785364537.957,950.2,540.7,1,0.861,-9.8,-2.3,9.9,-2.45,-0.62,950.2,537.7,"[[-2, -1]]",0,0.0104
37,1785364537.966,950.2,540.7,1,0.861,-9.8,-2.3,9.9,-3.44,-0.49,950.2,537.7,"[[-3, 0]]",0,0.0084
38,1785364537.977,950.2,540.7,1,0.861,-9.8,-2.3,9.9,-3.44,-0.49,950.2,537.7,"[[-3, 0]]",0,0.0109
39,1785364537.986,950.2,540.7,1,0.861,-9.8,-2.3,9.9,-3.44,-0.49,950.2,537.7,"[[-3, 0]]",0,0.0096
40,1785364537.994,969.6,540.4,1,0.862,9.6,-2.7,9.8,4.35,-0.57,969.6,537.3,"[[4, -1]]",0,0.0076
41,1785364538.001,969.6,540.4,1,0.862,9.6,-2.7,9.8,3.37,-0.56,969.6,537.3,"[[3, -1]]",0,0.0074
42,1785364538.010,969.6,540.4,1,0.862,9.6,-2.7,9.8,3.37,-0.56,969.6,537.3,"[[3, -1]]",0,0.0086
43,1785364538.018,990.6,540.2,1,0.812,30.6,-2.9,30.6,11.75,-0.62,990.6,537.1,"[[7, 0], [5, 0]]",0,0.0079
44,1785364538.029,990.6,540.2,1,0.812,30.6,-2.9,30.6,10.71,-0.62,990.6,537.1,"[[6, 0], [4, 0]]",0,0.0109
45,1785364538.041,990.6,540.2,1,0.812,30.6,-2.9,30.6,10.71,-0.62,990.6,537.1,"[[6, 0], [4, 0]]",0,0.0123
46,1785364538.051,990.6,540.2,1,0.812,30.6,-2.9,30.6,10.71,-0.62,990.6,537.1,"[[6, 0], [4, 0]]",0,0.0102
47,1785364538.061,1003.8,540.1,1,0.789,43.8,-2.9,43.9,16.00,-0.61,1003.8,537.1,"[[8, 0], [6, 0], [2, 0]]",0,0.0094
48,1785364538.073,1003.8,540.1,1,0.789,43.8,-2.9,43.9,15.34,-0.61,1003.8,537.1,"[[8, 0], [6, 0], [2, 0]]",0,0.0125
49,1785364538.086,1012.5,540.6,1,0.869,52.5,-2.5,52.5,18.79,-0.51,1012.5,537.5,"[[9, 0], [6, 0], [4, 0]]",0,0.0134
50,1785364538.098,1012.5,540.6,1,0.869,52.5,-2.5,52.5,18.36,-0.52,1012.5,537.5,"[[9, 0], [6, 0], [4, 0]]",0,0.0120
51,1785364538.110,1012.5,540.6,1,0.869,52.5,-2.5,52.5,18.36,-0.52,1012.5,537.5,"[[9, 0], [6, 0], [4, 0]]",0,0.0118
52,1785364538.123,1009.0,541.6,1,0.827,49.0,-1.4,49.0,16.97,-0.26,1009.0,538.6,"[[8, 0], [6, 0], [3, 0]]",0,0.0126
53,1785364538.134,1009.0,541.6,1,0.827,49.0,-1.4,49.0,17.14,-0.30,1009.0,538.6,"[[8, 0], [6, 0], [3, 0]]",0,0.0117
54,1785364538.147,1009.0,541.6,1,0.827,49.0,-1.4,49.0,17.14,-0.30,1009.0,538.6,"[[8, 0], [6, 0], [3, 0]]",0,0.0122
55,1785364538.159,994.1,541.8,1,0.883,34.1,-1.3,34.1,11.17,-0.26,994.1,538.7,"[[7, 0], [5, 0]]",0,0.0127
56,1785364538.170,994.1,541.8,1,0.883,34.1,-1.3,34.1,11.92,-0.27,994.1,538.7,"[[7, 0], [5, 0]]",0,0.0106
57,1785364538.182,994.1,541.8,1,0.883,34.1,-1.3,34.1,11.92,-0.27,994.1,538.7,"[[7, 0], [5, 0]]",0,0.0122
58,1785364538.192,974.3,541.8,1,0.870,14.3,-1.2,14.3,4.02,-0.26,974.3,538.8,"[[4, 0]]",0,0.0099
59,1785364538.201,974.3,541.8,1,0.870,14.3,-1.2,14.3,5.01,-0.26,974.3,538.8,"[[5, 0]]",0,0.0087
60,1785364538.212,974.3,541.8,1,0.870,14.3,-1.2,14.3,5.01,-0.26,974.3,538.8,"[[5, 0]]",0,0.0111
61,1785364538.221,957.3,541.7,1,0.862,-2.7,-1.3,2.8,-1.79,-0.28,957.3,538.7,"[[-2, 0]]",0,0.0094
62,1785364538.229,957.3,541.7,1,0.862,-2.7,-1.3,2.8,-0.94,-0.28,957.3,538.7,"[[-1, 0]]",0,0.0076
63,1785364538.237,957.3,541.7,1,0.862,-2.7,-1.3,2.8,-0.94,-0.28,957.3,538.7,"[[-1, 0]]",0,0.0084
64,1785364538.246,957.3,541.7,1,0.862,-2.7,-1.3,2.8,-0.94,-0.28,957.3,538.7,"[[-1, 0]]",0,0.0089
65,1785364538.255,933.4,541.8,1,0.877,-26.6,-1.2,26.6,-10.49,-0.26,933.4,538.8,"[[-6, 0], [-4, 0]]",0,0.0089
66,1785364538.265,933.4,541.8,1,0.877,-26.6,-1.2,26.6,-9.30,-0.26,933.4,538.8,"[[-6, 0], [-3, 0]]",0,0.0096
67,1785364538.277,933.4,541.8,1,0.877,-26.6,-1.2,26.6,-9.30,-0.26,933.4,538.8,"[[-6, 0], [-3, 0]]",0,0.0118
68,1785364538.287,912.8,541.7,1,0.801,-47.2,-1.4,47.2,-17.54,-0.30,912.8,538.6,"[[-8, 0], [-6, 0], [-3, 0]]",0,0.0100
69,1785364538.298,912.8,541.7,1,0.801,-47.2,-1.4,47.2,-16.51,-0.29,912.8,538.6,"[[-8, 0], [-6, 0], [-3, 0]]",0,0.0112
70,1785364538.313,912.8,541.7,1,0.801,-47.2,-1.4,47.2,-16.51,-0.29,912.8,538.6,"[[-8, 0], [-6, 0], [-3, 0]]",0,0.0150
71,1785364538.327,900.8,541.9,1,0.870,-59.2,-1.2,59.3,-21.34,-0.25,900.8,538.8,"[[-9, 0], [-7, 0], [-5, 0]]",0,0.0137
72,1785364538.337,900.8,541.9,1,0.870,-59.2,-1.2,59.3,-20.74,-0.26,900.8,538.8,"[[-9, 0], [-7, 0], [-5, 0]]",0,0.0109
73,1785364538.348,900.8,541.9,1,0.870,-59.2,-1.2,59.3,-20.74,-0.26,900.8,538.8,"[[-9, 0], [-7, 0], [-5, 0]]",0,0.0111
74,1785364538.361,902.4,541.9,1,0.872,-57.6,-1.2,57.6,-20.06,-0.25,902.4,538.8,"[[-9, 0], [-7, 0], [-4, 0]]",0,0.0127
75,1785364538.374,902.4,541.9,1,0.872,-57.6,-1.2,57.6,-20.15,-0.25,902.4,538.8,"[[-9, 0], [-7, 0], [-5, 0]]",0,0.0130
76,1785364538.385,914.7,541.7,1,0.877,-45.3,-1.3,45.3,-15.26,-0.28,914.7,538.7,"[[-8, 0], [-6, 0], [-2, 0]]",0,0.0108
77,1785364538.397,914.7,541.7,1,0.877,-45.3,-1.3,45.3,-15.87,-0.28,914.7,538.7,"[[-8, 0], [-6, 0], [-2, 0]]",0,0.0118
78,1785364538.408,914.7,541.7,1,0.877,-45.3,-1.3,45.3,-15.87,-0.28,914.7,538.7,"[[-8, 0], [-6, 0], [-2, 0]]",0,0.0115
79,1785364538.420,932.0,541.8,1,0.875,-28.0,-1.2,28.0,-8.94,-0.25,932.0,538.8,"[[-6, 0], [-3, 0]]",0,0.0115
80,1785364538.429,932.0,541.8,1,0.875,-28.0,-1.2,28.0,-9.80,-0.26,932.0,538.8,"[[-6, 0], [-4, 0]]",0,0.0093
81,1785364538.440,932.0,541.8,1,0.875,-28.0,-1.2,28.0,-9.80,-0.26,932.0,538.8,"[[-6, 0], [-4, 0]]",0,0.0113
82,1785364538.451,932.0,541.8,1,0.875,-28.0,-1.2,28.0,-9.80,-0.26,932.0,538.8,"[[-6, 0], [-4, 0]]",0,0.0110
83,1785364538.463,959.1,541.6,1,0.689,-0.9,-1.3,1.2,1.04,-0.28,959.1,538.7,"[[1, 0]]",0,0.0113
84,1785364538.474,959.1,541.6,1,0.689,-0.9,-1.3,1.2,-0.31,-0.28,959.1,538.7,"[]",0,0.0115
85,1785364538.483,959.1,541.6,1,0.689,-0.9,-1.3,1.2,-0.31,-0.28,959.1,538.7,"[]",0,0.0086
86,1785364538.492,988.5,541.8,1,0.876,28.5,-1.2,28.5,11.46,-0.25,988.5,538.8,"[[7, 0], [5, 0]]",0,0.0095
87,1785364538.502,988.5,541.8,1,0.876,28.5,-1.2,28.5,9.99,-0.26,988.5,538.8,"[[6, 0], [4, 0]]",0,0.0099
88,1785364538.512,988.5,541.8,1,0.876,28.5,-1.2,28.5,9.99,-0.26,988.5,538.8,"[[6, 0], [4, 0]]",0,0.0101
89,1785364538.524,1010.9,541.7,1,0.881,50.9,-1.3,50.9,18.94,-0.27,1010.9,538.7,"[[9, 0], [6, 0], [4, 0]]",0,0.0122
90,1785364538.535,1010.9,541.7,1,0.881,50.9,-1.3,50.9,17.82,-0.26,1010.9,538.7,"[[8, 0], [6, 0], [3, 0]]",0,0.0110
91,1785364538.548,1010.9,541.7,1,0.881,50.9,-1.3,50.9,17.82,-0.26,1010.9,538.7,"[[8, 0], [6, 0], [3, 0]]",0,0.0131
92,1785364538.562,1024.7,555.1,0,0.898,64.7,2.9,64.7,23.33,0.75,1024.7,542.9,"[[10, 0], [7, 0], [5, 0], [1, 0]]",0,0.0132
93,1785364538.579,1024.7,555.1,0,0.898,64.7,2.9,64.7,22.64,0.62,1024.7,542.9,"[[10, 0], [7, 0], [5, 0], [1, 0]]",0,0.0173
94,1785364538.592,1028.9,554.8,0,0.906,68.9,2.7,68.9,24.32,0.55,1028.9,542.7,"[[10, 0], [7, 0], [5, 0], [1, 0]]",0,0.0131
95,1785364538.609,1028.9,554.8,0,0.906,68.9,2.7,68.9,24.11,0.56,1028.9,542.7,"[[10, 0], [7, 0], [5, 0], [1, 0]]",0,0.0165
96,1785364538.621,1018.7,555.2,0,0.904,58.7,3.0,58.8,20.05,0.63,1018.7,543.0,"[[9, 0], [7, 0], [4, 0]]",0,0.0126
97,1785364538.633,1018.7,555.2,0,0.904,58.7,3.0,58.8,20.56,0.62,1018.7,543.0,"[[9, 0], [7, 0], [5, 0]]",0,0.0121
98,1785364538.645,1018.7,555.2,0,0.904,58.7,3.0,58.8,20.56,0.62,1018.7,543.0,"[[9, 0], [7, 0], [5, 0]]",0,0.0118
99,1785364538.658,1001.2,555.0,0,0.906,41.2,2.8,41.2,13.55,0.58,1001.2,542.8,"[[7, 0], [5, 0], [1, 0]]",0,0.0125
